x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
"(-0.001, 1.0]",0.02212679572403431,0.0003276101089169972,-0.001377080420016092,0.005678873101856733,0.1799148627422116,0.006219904251449578,0.4352357242929552
"(1.0, 2.0]",0.022912291809916496,0.00028313233123964906,-0.005283801212213834,0.004743053321907678,0.14816327150492153,0.005059458103281629,0.4326744178253992
"(2.0, 4.0]",0.02407175488770008,0.00030659840458202705,-0.016134395067142183,0.004917754147127384,0.12615297645166745,0.005093205693460721,0.43367999250602446
"(4.0, 6.0]",0.02215368114411831,0.0003601916631802297,-0.05598312510166554,0.005838767383530045,0.1645043500997902,0.006323109678090685,0.4216866857722711
"(6.0, 10.0]",0.022024622187018394,0.0003169966037264475,-0.09249528949823568,0.004844090363216017,0.14108809802531325,0.005318421502084798,0.4144284538806797
"(10.0, 15.0]",0.01923869550228119,0.00032884158441739834,-0.15172681873579477,0.005088527846040225,0.021690914882395346,0.005930453837015911,0.42161127319476654
"(15.0, 40.0]",0.015490185469388962,0.00012704779463654998,-0.1849017319543609,0.002284157912970835,-0.056204991703560504,0.0027835552917391034,0.4027932880653424
"(40.0, 100.0]",0.023315181955695152,0.0002529005374010213,-0.08625533411919106,0.003755399448019281,-0.2559854006768538,0.003432420669574732,0.47831429010158977
"(100.0, 250.0]",0.07483925670385361,0.0008384589176747813,0.5093608309333116,0.00990004004891784,-0.17478824571746282,0.006964539491485387,0.678854142231725
"(250.0, 1300.0]",0.128165140748024,0.0005761531258477676,0.7768234733965306,0.006208332716752303,-0.2098069051733522,0.003799232456516245,0.7820716222443397
