x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
-144,0.02088642492890358,0.00019358195912393573,-0.0231568849321983,0.005198035929622743,-0.10366887271930822,0.005084824810964757,0.4212895300152286
-136,0.020338091999292374,0.00018613058664392233,0.06421716905274548,0.005592627439105315,-0.16229268364782193,0.004757543429411009,0.4151415379622729
-134,0.026840675622224808,0.0007243477299508001,-0.045690815001182904,0.015804895948161878,0.37309737026396766,0.015485394831635226,0.43621629334649814
-132,0.0178135484457016,0.0005405059665193205,-0.04153578830976152,0.013884829934519508,0.32807060652059755,0.014133945637987443,0.3676066064035872
-121,0.0178902018815279,0.0005856656656188173,-0.05052944197890879,0.014971597813681804,0.3848546761952664,0.01641780523668701,0.3628806226375931
-117,0.020381879061460495,0.0004143329963517437,-0.02670939653414555,0.011019910861126742,0.31078993488028656,0.010337413262569043,0.38583818082475246
-115,0.021694708615541458,0.00016566355213343086,-0.025371006817158693,0.004501308990446336,-0.02402106651287592,0.004491761734977523,0.4322302846802044
-114,0.021632149815559387,0.0006122419240656259,-0.034810830847264794,0.015733436857016305,0.3160281775611644,0.016229212041494256,0.4142656072313685
-113,0.023086022585630417,0.0006272727372702566,0.08164876389677624,0.0184713891477428,0.43393719450760204,0.01509432336977582,0.40662723256120153
-108,0.016896318644285202,0.0005582223956155593,-0.14330803523633232,0.01374623479992158,0.3451420007807895,0.016129725996501025,0.352325215805443
-106,0.02301996760070324,0.0005679478108711723,0.04650588830651473,0.016807147096118028,0.34057840134403916,0.013841794658874527,0.41505990528377545
-90,0.028555402532219887,0.0006401251318299879,0.017397530361083508,0.01602938406558525,0.3194398846258739,0.014351334947541991,0.4715406771321058
-13,0.029509935528039932,0.00023004882878434948,-0.12362211706389882,0.004463011873278295,-0.15641487333477924,0.00498324412110333,0.49103934614334965
-9,0.02726162225008011,0.00022780627983060996,-0.12804686734968596,0.004542453643730173,-0.12795491299350606,0.005350444997691411,0.47069040642297216
-4,0.025307854637503624,0.0006992995726622647,-0.13805462082583303,0.014329707326258795,0.2593598943290327,0.016556163468671822,0.44397734993483784
8,0.026558591052889824,0.000658375225662975,-0.14007170913890213,0.013130808079545801,0.3694958837761738,0.017090365405866222,0.45318221498906935
95,0.07979099452495575,0.0017558943465117403,0.14986107508695917,0.017760263883634282,0.37246565437580254,0.015387663408588003,0.551380039343557
105,0.0788719579577446,0.0017887695545789784,0.09879108101901972,0.016825039991382126,0.3414490355249642,0.01506407788747403,0.5437057053631269
110,0.04236385226249695,0.0008447453388734246,-0.13007505168677802,0.012957050034980705,0.2854817980610605,0.015824724985927328,0.5282510057387085
114,0.0499197319149971,0.00034634395631492925,-0.05552611728386069,0.004549052129502218,-0.09263132198753907,0.004891951104987126,0.5525896270299452
115,0.07609917223453522,0.001679687325399748,0.10294779545672332,0.016248001596759428,0.35500003129849134,0.014591569341683154,0.5263803686003145
117,0.04600607603788376,0.0008885445950438312,-0.126507314347809,0.013265263010859328,0.32120107831104694,0.016007429285283575,0.5334327179780579
119,0.04236194118857384,0.0008416828110643638,-0.09078071549656803,0.013113765963776428,0.34124202340016124,0.01603038700976842,0.528331959760231
121,0.09424098581075668,0.0007136064988449673,0.17850296101620267,0.006009655069251023,-0.10431584481099503,0.005102142493450506,0.5856935746663732
122,0.07761649787425995,0.0018115974631284903,0.116353091546588,0.016629639291883366,0.36461421619842854,0.014953940726872743,0.5184702121672929
123,0.0620303638279438,0.0013878200607522035,-0.042030813911579215,0.014314183070868748,0.2867918256593569,0.015153321828697004,0.5403013242012092
125,0.08881928026676178,0.0006774995642998869,0.1911733767091986,0.005570251520389987,-0.11632921063512819,0.004805729851185467,0.576752479420272
126,0.04860629513859749,0.0008109549752897151,-0.12349035413128646,0.012049222921048293,0.3741627184911919,0.014637711154543025,0.547690985217802
134,0.08147604763507843,0.0020895732939753657,0.12499782673849757,0.018185136554535596,0.3822779885317899,0.016269795647954503,0.5229776162331081
136,0.048878271132707596,0.0003276025033221613,-0.04563021258079418,0.004774779291527055,-0.1547293971699318,0.005116088505823732,0.5590716157062117
139,0.0794060230255127,0.0019150262267127293,0.1034695544595895,0.017671704004625095,0.36662240539434493,0.016153861439264946,0.5333066606760876
141,0.07064373046159744,0.001585058348918307,0.01622394206350371,0.015719073423923455,0.36140868530051207,0.016530640307942542,0.5475828311750928
