x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
"(-0.001, 1.0]",0.20002074539661407,0.0008282553062522235,0.019956783307407116,0.0053329098417143036,-0.4428709328788565,0.003696065869427515,0.5521665113805638
"(1.0, 2.0]",0.20460443198680878,0.0007104254907267149,0.12071561024942296,0.0046842082608203675,-0.4580519366011958,0.00310162207539879,0.5526419330885628
"(2.0, 4.0]",0.19833143055438995,0.0007432909800474395,0.1886447105354996,0.004970804153159547,-0.44006185575965223,0.0033359258146748215,0.543402776993399
"(4.0, 6.0]",0.17545512318611145,0.0008736201470055221,0.07017981373217075,0.005836450048410012,-0.3692283266043519,0.004234174304763897,0.5304126468772414
"(6.0, 10.0]",0.14940950274467468,0.0007128079361081428,0.04695427774072064,0.005025101369128725,-0.27195794781441135,0.00395230574528355,0.5106300092011752
"(10.0, 15.0]",0.10615464299917221,0.0006707480738345318,0.021160240407630895,0.0060209021490755694,-0.06168167492939816,0.005236267653469138,0.47554779003902453
"(15.0, 40.0]",0.0938534289598465,0.0002968266754660861,-0.08606076943656997,0.0028708346889873403,0.09436786841965844,0.0027308222992609905,0.4607756017609552
"(40.0, 100.0]",0.0906018614768982,0.00042367169439630633,-0.16427133699947286,0.004030126320853821,0.17781984876611717,0.004143519858646324,0.4603099333745129
"(100.0, 250.0]",0.09976256638765335,0.0009067709233333245,-0.004255304336870952,0.008268853404789025,0.7354747384176996,0.008442216792200101,0.4542960626927822
"(250.0, 1300.0]",0.10149520635604858,0.0006122028221813611,-0.033116349414157,0.005003652280590427,1.3532389580797082,0.00584791992014686,0.45891069236227844
