neuron,mean_zscore,sem_zscore
0,0.134569084060223,0.0041926508039946825
1,0.29525662646463724,0.0032916194032433484
2,0.44948239346898117,0.0034334921574872344
3,0.2798512475696048,0.003275670054551453
4,0.5528287114106445,0.003568384706653002
5,0.35008855234976644,0.003136950511105001
6,0.5000332871926685,0.0035929348713188403
7,0.6579716075176316,0.0038189586962918505
8,0.30210328950358895,0.003582372205622647
9,0.7247941351432394,0.0039053432219604213
10,0.4277000089676574,0.0034437834956056405
11,0.525298061629504,0.003407589797835984
12,0.49904429099832237,0.0035458523638389936
13,0.32707717559138016,0.003380082012920227
14,0.4098896287443284,0.003435288232168137
15,0.43560131596863727,0.003357647649684477
16,0.28433473507425516,0.0034931307108070227
17,0.47463448621001963,0.003644333981405497
18,0.5053532367291043,0.0034182110435934747
19,0.16656146631350682,0.0032467782252753336
20,0.24244526676925537,0.0039854934091387035
21,0.28445782417858273,0.0032818356484992386
22,0.2564207439486514,0.0033378966606258907
23,0.4477630435905003,0.0035801821680126094
24,0.45175221713780955,0.0032438458606236288
25,0.5219182799551404,0.0038087154481045377
26,0.26902977871969286,0.0033403655648634747
27,0.5378067710118555,0.003436172720951991
28,0.17318508475000494,0.0030566681797842632
29,0.1006130517849828,0.0031483146588589285
30,0.18509250671724617,0.003158383957750021
31,0.43669917252447515,0.0034944204081794393
32,0.3768725748571476,0.0034620900405072114
33,0.348853657831477,0.003383837100233843
34,0.4640849523671508,0.003621705181944184
35,0.5410975512772065,0.003613514785592993
36,0.4716786571314611,0.003525182274827905
37,0.46951377613383977,0.0036427902073981997
38,0.1700822896297114,0.0030606506408186215
39,0.33218536996098463,0.0034136663597008356
40,0.29171656073132557,0.003290154107415138
41,0.18600128045276518,0.0031817956675988545
42,0.1495024755713453,0.0031776212806073146
43,0.05883481746643835,0.0030257625285323476
44,0.2186855194441838,0.0033213981252043457
45,0.16847204468057544,0.003009101926256398
46,0.3629062730026749,0.0033174613958247812
47,0.3651718504146516,0.0033339749075355454
48,0.12017688896413481,0.0030903907729085047
49,0.12911748078629182,0.0030666093113117586
50,0.21583432589664528,0.00321851791032667
51,0.21872443611215897,0.0031832377900780067
52,0.14677198475107348,0.003126902695584761
53,0.09939133724255475,0.003016769542913803
54,0.04857547206756594,0.0030050107571873755
55,0.0598298595926784,0.002964551481531586
56,0.0814485709953239,0.003037775511406276
57,0.2768786896147411,0.003314050750137929
58,0.1371222521320279,0.00307918589768512
59,0.25234863573574967,0.0031771975341078735
60,0.3351731093332596,0.0033322389412723643
61,-0.09087229497763286,0.002710561890243713
62,0.2807146115596756,0.003530969142336361
63,0.28844128790118867,0.0032464237486690105
64,0.34949164107135466,0.0035003283606110038
65,0.11352627151352221,0.003010558640808691
66,0.16145356757413953,0.003165442851098236
67,0.170321178853,0.003322140549175786
68,0.33494709942472684,0.003327498942797238
69,0.3495319708299568,0.0032073159578080075
