x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
"(-0.001, 1.0]",0.08655892312526703,0.0008143496101266464,0.7378262427720635,0.009328355390501525,-0.4745574577595349,0.005638026802879492,0.5888887758634114
"(1.0, 2.0]",0.08340846747159958,0.0006928349789736577,0.7074327370229816,0.00807023753884288,-0.46200875951925147,0.004952405296047466,0.5869759725062289
"(2.0, 4.0]",0.07929868251085281,0.0007249900719629201,0.6448523528950435,0.008763160538435693,-0.4353397176595351,0.005572458297700503,0.5802265198737584
"(4.0, 6.0]",0.07634911686182022,0.0008340618711538271,0.5827233747444229,0.010296440004471618,-0.42185909529648286,0.006858281538795849,0.5785544970111215
"(6.0, 10.0]",0.06786658614873886,0.0006991203710308257,0.3801828427718719,0.009041755240558039,-0.33761164961975415,0.006889587148049591,0.5591055503344029
"(10.0, 15.0]",0.04118869826197624,0.0006408420626662414,-0.23874041139220184,0.008824545172881138,-0.06462595700869186,0.010277278388790282,0.47391670350189974
"(15.0, 40.0]",0.022846652194857597,0.00021730071060809282,-0.5165716644102347,0.0030619209107116078,0.2240183314840581,0.005423525680965284,0.3433381132297267
"(40.0, 100.0]",0.019722677767276764,0.00028368136730221895,-0.6438302038461475,0.0029426636100518227,0.45119382005130826,0.007936051816571246,0.3157123423608302
"(100.0, 250.0]",0.04550870135426521,0.0007673514114182553,-0.5908052781101214,0.005536853992817944,0.49630153460614124,0.014728408061500524,0.5039785438234853
"(250.0, 1300.0]",0.054460495710372925,0.0004544751238267429,-0.4379775130275506,0.004410192791432991,0.8111765233698992,0.009151308978304554,0.5607301874912735
