x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
"(-0.001, 1.0]",0.0012278949143365026,0.0001037749514167914,-0.4745574577595349,0.005638026802879492,0.2820521992858944,0.006858189443726225,0.04878730716288942
"(1.0, 2.0]",0.0016249583568423986,0.00010544645333358804,-0.46200875951925147,0.004952405296047466,0.2681374833751102,0.006050154649209793,0.06002319699387905
"(2.0, 4.0]",0.0032230382785201073,0.00016966331305169412,-0.4353397176595351,0.005572458297700503,0.22302498669822501,0.006654900358578904,0.10188174870465386
"(4.0, 6.0]",0.003579049836844206,0.00021426318351817298,-0.42185909529648286,0.006858281538795849,0.18232699417150788,0.008039289548373064,0.1174471082139288
"(6.0, 10.0]",0.010936214588582516,0.0003498471086643219,-0.33761164961975415,0.006889587148049591,0.09206562902209148,0.007711305493224503,0.25657278330334515
"(10.0, 15.0]",0.03268614038825035,0.0007301703070926217,-0.06462595700869186,0.010277278388790282,-0.16396106827365695,0.010545511799394476,0.4917693822666862
"(15.0, 40.0]",0.06061326712369919,0.00044462395610604026,0.2240183314840581,0.005423525680965284,-0.3059853740104226,0.005416174112111911,0.6855092683914832
"(40.0, 100.0]",0.09829369187355042,0.0006779693232384752,0.45119382005130826,0.007936051816571246,-0.5854575904422427,0.007060299271422282,0.7705992335343981
"(100.0, 250.0]",0.0499730221927166,0.0011233513873535562,0.49630153460614124,0.014728408061500524,0.14579556018246467,0.01615868142758796,0.5930076639822838
"(250.0, 1300.0]",0.02434699237346649,0.0004325541745455926,0.8111765233698992,0.009151308978304554,0.7054109114988611,0.008680447350344097,0.49759487528193613
