x,unit_mean,unit_sem,top_neuron_mean,top_neuron_sem,bottom_neuron_mean,bottom_neuron_sem,selectivity_score
"(-0.001, 1.0]",0.08809857070446014,0.0005093077964901892,-0.037432877178394885,0.004818136754084152,-0.20882741118377018,0.004229119590613819,0.5329339959164661
"(1.0, 2.0]",0.08918400853872299,0.0004133569748109065,-0.03075807273189499,0.0038775238573943347,-0.20300202178551902,0.003391424513024301,0.5340276043996355
"(2.0, 4.0]",0.08608892560005188,0.00039445903586816055,-0.041010332270667735,0.003746995721673583,-0.1775020828280116,0.003323617004670852,0.5260499597700532
"(4.0, 6.0]",0.08335822820663452,0.00046243694772419956,-0.04942787069995124,0.004495003569724095,-0.17227948632932416,0.003968625719434709,0.5186741390667342
"(6.0, 10.0]",0.07981833070516586,0.00037167159578995455,-0.05055189171217772,0.0037031823640844164,-0.1507836536233435,0.003275404431584746,0.5111992725716623
"(10.0, 15.0]",0.0669788345694542,0.00048273542259725795,-0.0817004764472341,0.005349366205052819,-0.0861255509963292,0.0048349708450424085,0.4863551592461154
"(15.0, 40.0]",0.04805578663945198,0.00033339408436977195,-0.03332395914220631,0.004641280857021857,0.08246576054286885,0.004400019902516176,0.4385620822396532
"(40.0, 100.0]",0.042470768094062805,0.0004555345600071,0.010329900565889456,0.007534644366539946,0.22790754051484738,0.007515810262632571,0.4394563095454747
"(100.0, 250.0]",0.04319325089454651,0.0005694636156122504,0.20404633902741134,0.010296527917138589,0.5063580397351765,0.01082489882355117,0.4521934123892746
"(250.0, 1300.0]",0.043634917587041855,0.0003199504574405728,0.36503630064515347,0.005528185973496154,1.0417949654083443,0.006707358633982692,0.44799718967587654
